KIR00001 KIR2DL1*001
KIR00002 KIR2DL1*0020101
KIR00003 KIR2DL1*00301
KIR00004 KIR2DL1*0030201
KIR00294 KIR2DL1*0030202
KIR00005 KIR2DL1*00303
KIR00006 KIR2DL1*0040101
KIR00007 KIR2DL1*0040102
KIR00203 KIR2DL1*00402
KIR00330 KIR2DL1*00403
KIR00008 KIR2DL1*005
KIR00009 KIR2DL1*006
KIR00200 KIR2DL1*007
KIR00201 KIR2DL1*008
KIR00202 KIR2DL1*009
KIR00214 KIR2DL1*010
KIR00329 KIR2DL1*01101
KIR00396 KIR2DL1*01102
KIR00331 KIR2DL1*01201
KIR00332 KIR2DL1*013N
KIR00333 KIR2DL1*014
KIR00334 KIR2DL1*015
KIR00349 KIR2DL1*016
KIR00350 KIR2DL1*017
KIR00351 KIR2DL1*018
KIR00352 KIR2DL1*019
KIR00010 KIR2DL2*0010101
KIR00324 KIR2DL2*00102
KIR00011 KIR2DL2*002
KIR00012 KIR2DL2*0030101
KIR00316 KIR2DL2*0030102
KIR00335 KIR2DL2*0030103
KIR00587 KIR2DL2*00302
KIR00653 KIR2DL2*00303
KIR00654 KIR2DL2*00304
KIR00013 KIR2DL2*004
KIR00096 KIR2DL2*005
KIR00325 KIR2DL2*00601
KIR00326 KIR2DL2*00602
KIR00328 KIR2DL2*007
KIR00584 KIR2DL2*008
KIR00585 KIR2DL2*009
KIR00586 KIR2DL2*010
KIR00014 KIR2DL3*0010101
KIR00657 KIR2DL3*0010111
KIR00656 KIR2DL3*00104
KIR00015 KIR2DL3*0020101
KIR00016 KIR2DL3*003
KIR00017 KIR2DL3*004
KIR00018 KIR2DL3*005
KIR00019 KIR2DL3*006
KIR00128 KIR2DL3*007
KIR00313 KIR2DL3*008N
KIR00314 KIR2DL3*009
KIR00588 KIR2DL3*015
KIR00655 KIR2DL3*017
KIR00020 KIR2DL4*00101
KIR00021 KIR2DL4*0010201
KIR00112 KIR2DL4*0010301
KIR00115 KIR2DL4*0010302
KIR00119 KIR2DL4*00104
KIR00129 KIR2DL4*00105
KIR00022 KIR2DL4*00201
KIR00023 KIR2DL4*00202
KIR00024 KIR2DL4*003
KIR00025 KIR2DL4*004
KIR00026 KIR2DL4*00501
KIR00209 KIR2DL4*00502
KIR00027 KIR2DL4*00601
KIR00130 KIR2DL4*00602
KIR00028 KIR2DL4*007
KIR00109 KIR2DL4*0080101
KIR00110 KIR2DL4*0080102
KIR00117 KIR2DL4*0080103
KIR00213 KIR2DL4*0080104
KIR00111 KIR2DL4*0080201
KIR00116 KIR2DL4*0080202
KIR00118 KIR2DL4*00901
KIR00114 KIR2DL4*010
KIR00113 KIR2DL4*011
KIR00212 KIR2DL4*01201
KIR00512 KIR2DL4*013
KIR00591 KIR2DL4*017
KIR00029 KIR2DL5A*0010101
KIR00300 KIR2DL5A*0010102
KIR00259 KIR2DL5A*00102
KIR00260 KIR2DL5A*00103
KIR00262 KIR2DL5A*00104
KIR00263 KIR2DL5A*00105
KIR00095 KIR2DL5A*0050101
KIR00249 KIR2DL5A*0050102
KIR00391 KIR2DL5A*01201
KIR00389 KIR2DL5A*01202
KIR00030 KIR2DL5B*0020101
KIR00248 KIR2DL5B*0020102
KIR00301 KIR2DL5B*0020103
KIR00394 KIR2DL5B*0020104
KIR00524 KIR2DL5B*0020106
KIR00031 KIR2DL5B*003
KIR00032 KIR2DL5B*004
KIR00125 KIR2DL5B*00601
KIR00267 KIR2DL5B*00602
KIR00393 KIR2DL5B*00603
KIR00126 KIR2DL5B*007
