# file: Allelelist.txt
# date: 2022-12-12
# version: IPD-KIR 2.12.0
# origin: https://github.com/ANHIG/IPDKIR/Allelelist.txt
# repository: https://raw.githubusercontent.com/ANHIG/IPDKIR/Latest/Allelelist.txt
# author: Steven G. E. Marsh (steven.marsh@ucl.ac.uk)
AlleleID,Allele
KIR00001,KIR2DL1*0010101
KIR00978,KIR2DL1*0010102
KIR00979,KIR2DL1*0010103
KIR01188,KIR2DL1*0010104
KIR00002,KIR2DL1*0020101
KIR00398,KIR2DL1*0020102
KIR00644,KIR2DL1*0020103
KIR01038,KIR2DL1*0020104
KIR01055,KIR2DL1*0020105
KIR01056,KIR2DL1*0020106
KIR01059,KIR2DL1*0020107
KIR01063,KIR2DL1*0020108
KIR01065,KIR2DL1*0020109
KIR01068,KIR2DL1*0020110
KIR01076,KIR2DL1*0020111
KIR01091,KIR2DL1*0020112
KIR01106,KIR2DL1*0020113
KIR01111,KIR2DL1*0020114
KIR01118,KIR2DL1*0020115
KIR01122,KIR2DL1*0020116
KIR01182,KIR2DL1*0020117
KIR01183,KIR2DL1*0020118
KIR01187,KIR2DL1*0020119
KIR01554,KIR2DL1*00202
KIR00003,KIR2DL1*00301
KIR00004,KIR2DL1*0030201
KIR00294,KIR2DL1*0030202
KIR00397,KIR2DL1*0030203
KIR00399,KIR2DL1*0030204
KIR00404,KIR2DL1*0030205
KIR00400,KIR2DL1*0030206
KIR00401,KIR2DL1*0030207
KIR00402,KIR2DL1*0030208
KIR00403,KIR2DL1*0030209
KIR00616,KIR2DL1*0030210
KIR01047,KIR2DL1*0030211
KIR01048,KIR2DL1*0030212
KIR01061,KIR2DL1*0030213
KIR01070,KIR2DL1*0030214
KIR01077,KIR2DL1*0030215
KIR01081,KIR2DL1*0030216
KIR01082,KIR2DL1*0030217
KIR01083,KIR2DL1*0030218
KIR01087,KIR2DL1*0030219
KIR01088,KIR2DL1*0030220
KIR01098,KIR2DL1*0030221
KIR01099,KIR2DL1*0030222
KIR01107,KIR2DL1*0030223
KIR01113,KIR2DL1*0030224
KIR01115,KIR2DL1*0030225
KIR01125,KIR2DL1*0030226
KIR01126,KIR2DL1*0030227
KIR01129,KIR2DL1*0030228
