# file: Allelelist_history.txt
# date: 2025-12-10
# version: IPD-KIR 2.15.0
# origin: https://github.com/ANHIG/IPDKIR/Allelelist_history.txt
# repository: https://raw.githubusercontent.com/ANHIG/IPDKIR/Latest/Allelelist_history.txt
# author: IPD Team (ipdsubs@anthonynolan.org)
KIR_ID,2150,2140,2130,2120,2110,2100,2090,2080,2071,2070,2060,2050,2040,2030,2020,2010,2001,2000,1040,1030,1021,1020,1011,1010,1000
KIR00001,KIR2DL1*0010101,KIR2DL1*0010101,KIR2DL1*0010101,KIR2DL1*0010101,KIR2DL1*0010101,KIR2DL1*0010101,KIR2DL1*0010101,KIR2DL1*0010101,KIR2DL1*001,KIR2DL1*001,KIR2DL1*001,KIR2DL1*001,KIR2DL1*001,KIR2DL1*001,KIR2DL1*001,KIR2DL1*001,KIR2DL1*001,KIR2DL1*001,KIR2DL1*001,KIR2DL1*001,KIR2DL1*001,KIR2DL1*001,KIR2DL1*001,KIR2DL1*001,KIR2DL1*001
KIR00002,KIR2DL1*0020101,KIR2DL1*0020101,KIR2DL1*0020101,KIR2DL1*0020101,KIR2DL1*0020101,KIR2DL1*0020101,KIR2DL1*0020101,KIR2DL1*0020101,KIR2DL1*0020101,KIR2DL1*0020101,KIR2DL1*0020101,KIR2DL1*0020101,KIR2DL1*0020101,KIR2DL1*0020101,KIR2DL1*0020101,KIR2DL1*002,KIR2DL1*002,KIR2DL1*002,KIR2DL1*002,KIR2DL1*002,KIR2DL1*002,KIR2DL1*002,KIR2DL1*002,KIR2DL1*002,KIR2DL1*002
KIR00003,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301,KIR2DL1*00301
KIR00004,KIR2DL1*0030201,KIR2DL1*0030201,KIR2DL1*0030201,KIR2DL1*0030201,KIR2DL1*0030201,KIR2DL1*0030201,KIR2DL1*0030201,KIR2DL1*0030201,KIR2DL1*0030201,KIR2DL1*0030201,KIR2DL1*0030201,KIR2DL1*0030201,KIR2DL1*0030201,KIR2DL1*0030201,KIR2DL1*0030201,KIR2DL1*0030201,KIR2DL1*0030201,KIR2DL1*0030201,KIR2DL1*00302,KIR2DL1*00302,KIR2DL1*00302,KIR2DL1*00302,KIR2DL1*00302,KIR2DL1*00302,KIR2DL1*00302
KIR00005,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,KIR2DL1*00303,NA
KIR00006,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101,KIR2DL1*0040101
KIR00007,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,KIR2DL1*0040102,NA
KIR00008,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005,KIR2DL1*005
KIR00009,KIR2DL1*00601,KIR2DL1*00601,KIR2DL1*00601,KIR2DL1*00601,KIR2DL1*00601,KIR2DL1*00601,KIR2DL1*00601,KIR2DL1*00601,KIR2DL1*00601,KIR2DL1*00601,KIR2DL1*00601,KIR2DL1*006,KIR2DL1*006,KIR2DL1*006,KIR2DL1*006,KIR2DL1*006,KIR2DL1*006,KIR2DL1*006,KIR2DL1*006,KIR2DL1*006,KIR2DL1*006,KIR2DL1*006,KIR2DL1*006,KIR2DL1*006,NA
KIR00010,KIR2DL2*0010101,KIR2DL2*0010101,KIR2DL2*0010101,KIR2DL2*0010101,KIR2DL2*0010101,KIR2DL2*0010101,KIR2DL2*0010101,KIR2DL2*0010101,KIR2DL2*0010101,KIR2DL2*0010101,KIR2DL2*0010101,KIR2DL2*0010101,KIR2DL2*0010101,KIR2DL2*0010101,KIR2DL2*0010101,KIR2DL2*00101,KIR2DL2*001,KIR2DL2*001,KIR2DL2*001,KIR2DL2*001,KIR2DL2*001,KIR2DL2*001,KIR2DL2*001,KIR2DL2*001,KIR2DL2*001
