KIR00001 2DL1*001
KIR00002 2DL1*0020101
KIR00398 2DL1*0020102
KIR00644 2DL1*0020103
KIR00003 2DL1*00301
KIR00004 2DL1*0030201
KIR00294 2DL1*0030202
KIR00397 2DL1*0030203
KIR00399 2DL1*0030204
KIR00404 2DL1*0030205
KIR00400 2DL1*0030206
KIR00401 2DL1*0030207
KIR00402 2DL1*0030208
KIR00403 2DL1*0030209
KIR00616 2DL1*0030210
KIR00005 2DL1*00303
KIR00897 2DL1*00304
KIR00898 2DL1*00305
KIR00957 2DL1*00306
KIR00006 2DL1*0040101
KIR00007 2DL1*0040102
KIR00203 2DL1*00402
KIR00330 2DL1*00403
KIR00008 2DL1*005
KIR00009 2DL1*00601
KIR00764 2DL1*00602
KIR00200 2DL1*007
KIR00201 2DL1*008
KIR00202 2DL1*009
KIR00214 2DL1*010
KIR00329 2DL1*01101
KIR00396 2DL1*01102
KIR00331 2DL1*01201
KIR00574 2DL1*01202
KIR00332 2DL1*013N
KIR00333 2DL1*014
KIR00334 2DL1*015
KIR00349 2DL1*016
KIR00350 2DL1*017
KIR00351 2DL1*018
KIR00352 2DL1*019
KIR00518 2DL1*020
KIR00519 2DL1*021
KIR00577 2DL1*02201
KIR00956 2DL1*02202
KIR00575 2DL1*023
KIR00576 2DL1*024
KIR00617 2DL1*025
KIR00677 2DL1*026
KIR00798 2DL1*027
KIR00799 2DL1*028
KIR00800 2DL1*029
KIR00817 2DL1*030
KIR00818 2DL1*031
KIR00865 2DL1*032N
KIR00899 2DL1*033
KIR00900 2DL1*034
KIR00954 2DL1*035
KIR00955 2DL1*036
KIR00010 2DL2*0010101
KIR00405 2DL2*0010102
KIR00407 2DL2*0010103
KIR00410 2DL2*0010104
KIR00618 2DL2*0010105
KIR00645 2DL2*0010106
KIR00630 2DL2*0010107
KIR00324 2DL2*00102
KIR00850 2DL2*00103
KIR00011 2DL2*002
KIR00012 2DL2*0030101
KIR00316 2DL2*0030102
KIR00335 2DL2*0030103
KIR00406 2DL2*0030104
KIR00408 2DL2*0030105
KIR00409 2DL2*0030106
KIR00411 2DL2*0030107
KIR00587 2DL2*00302
KIR00653 2DL2*00303
KIR00654 2DL2*00304
KIR00013 2DL2*004
KIR00096 2DL2*005
KIR00325 2DL2*00601
KIR00326 2DL2*00602
KIR00328 2DL2*007
KIR00584 2DL2*008
KIR00585 2DL2*009
KIR00586 2DL2*010
KIR00661 2DL2*011
KIR00678 2DL2*012
KIR00765 2DL2*013
KIR00014 2DL3*0010101
KIR00412 2DL3*0010102
KIR00413 2DL3*0010103
KIR00415 2DL3*0010104
KIR00416 2DL3*0010105
KIR00417 2DL3*0010106
KIR00418 2DL3*0010107
KIR00419 2DL3*0010108
KIR00619 2DL3*0010109
KIR00631 2DL3*0010110
KIR00657 2DL3*0010111
KIR00566 2DL3*00102
KIR00569 2DL3*00103
KIR00656 2DL3*00104
KIR00671 2DL3*00105
KIR00689 2DL3*00106
KIR00691 2DL3*00107
KIR00695 2DL3*00108
KIR00732 2DL3*00109
KIR00734 2DL3*00110
KIR00015 2DL3*0020101
KIR00435 2DL3*0020102
KIR00646 2DL3*0020103
KIR00016 2DL3*003
KIR00017 2DL3*004
KIR00018 2DL3*00501
KIR00806 2DL3*00502
KIR00019 2DL3*006
KIR00128 2DL3*007
KIR00313 2DL3*008N
KIR00314 2DL3*009
KIR00414 2DL3*010
KIR00567 2DL3*011
KIR00568 2DL3*01201
KIR00660 2DL3*01202
KIR00570 2DL3*013
KIR00571 2DL3*014
KIR00588 2DL3*015
KIR00589 2DL3*016
KIR00655 2DL3*017
KIR00659 2DL3*01801
KIR00895 2DL3*01802
KIR00687 2DL3*019
KIR00693 2DL3*020
KIR00697 2DL3*021
KIR00683 2DL3*022
KIR00703 2DL3*023
KIR00704 2DL3*024
KIR00733 2DL3*025
KIR00735 2DL3*026
KIR00736 2DL3*027
KIR00737 2DL3*028
KIR00738 2DL3*029
KIR00739 2DL3*030
KIR00740 2DL3*031
KIR00741 2DL3*032
KIR00849 2DL3*033
KIR00879 2DL3*034
KIR00945 2DL3*035
KIR00020 2DL4*00101
KIR00021 2DL4*0010201
KIR00424 2DL4*0010202
KIR00112 2DL4*0010301
KIR00115 2DL4*0010302
KIR00420 2DL4*0010303
KIR00421 2DL4*0010304
KIR00422 2DL4*0010305
KIR00423 2DL4*0010306
KIR00425 2DL4*0010307
KIR00620 2DL4*0010308
KIR00119 2DL4*00104
KIR00129 2DL4*00105
KIR00022 2DL4*00201
KIR00023 2DL4*00202
KIR00024 2DL4*003
KIR00025 2DL4*004
KIR00026 2DL4*00501
KIR00901 2DL4*00503
KIR00902 2DL4*00504
KIR00027 2DL4*00601
KIR00130 2DL4*00602
KIR00913 2DL4*00603
KIR00028 2DL4*007
KIR00109 2DL4*0080101
KIR00110 2DL4*0080102
KIR00117 2DL4*0080103
KIR00213 2DL4*0080104
KIR00436 2DL4*0080105
KIR00111 2DL4*0080201
KIR00116 2DL4*0080202
KIR00437 2DL4*0080203
KIR00647 2DL4*0080204
KIR00118 2DL4*00901
KIR00520 2DL4*00902
KIR00114 2DL4*010
KIR00113 2DL4*011
KIR00212 2DL4*01201
KIR00593 2DL4*01202
KIR00512 2DL4*013
KIR00521 2DL4*014
KIR00522 2DL4*015
KIR00523 2DL4*016
KIR00591 2DL4*017
KIR00592 2DL4*018
KIR00594 2DL4*019
KIR00595 2DL4*020
KIR00596 2DL4*021
KIR00590 2DL4*022
KIR00668 2DL4*023
KIR00670 2DL4*024
KIR00672 2DL4*025
KIR00674 2DL4*026
KIR00675 2DL4*027
KIR00748 2DL4*028
KIR00826 2DL4*029
KIR00830 2DL4*030
KIR00828 2DL4*031
KIR00904 2DL4*032
KIR00905 2DL4*033
KIR00903 2DL4*034
KIR00909 2DL4*035
KIR00912 2DL4*036
KIR00914 2DL4*037
KIR00928 2DL4*038
KIR00029 2DL5A*0010101
KIR00300 2DL5A*0010102
KIR00439 2DL5A*0010103
KIR00259 2DL5A*00102
KIR00260 2DL5A*00103
KIR00262 2DL5A*00104
KIR00263 2DL5A*00105
KIR00095 2DL5A*0050101
KIR00249 2DL5A*0050102
KIR00438 2DL5A*0050103
KIR00440 2DL5A*0050104
KIR00391 2DL5A*01201
KIR00389 2DL5A*01202
KIR00536 2DL5A*014
KIR00537 2DL5A*015
KIR00882 2DL5A*021
KIR00907 2DL5A*022
KIR00030 2DL5B*0020101
KIR00248 2DL5B*0020102
KIR00301 2DL5B*0020103
KIR00394 2DL5B*0020104
KIR00441 2DL5B*0020105
KIR00524 2DL5B*0020106
KIR00632 2DL5B*0020107
KIR00535 2DL5B*00202
KIR00802 2DL5B*00203
KIR00031 2DL5B*003
KIR00032 2DL5B*004
KIR00125 2DL5B*00601
KIR00267 2DL5B*00602
KIR00393 2DL5B*00603
KIR00126 2DL5B*0070101
KIR00525 2DL5B*0070102
KIR00244 2DL5B*0080101
KIR00395 2DL5B*0080102
KIR00266 2DL5B*00802
KIR00682 2DL5B*00803
KIR00805 2DL5B*00804
KIR00946 2DL5B*00805
KIR00245 2DL5B*009
KIR00264 2DL5B*010
KIR00265 2DL5B*011
KIR00390 2DL5B*01301
KIR00392 2DL5B*01302
KIR00534 2DL5B*01303
KIR00801 2DL5B*01304
KIR00538 2DL5B*016
KIR00664 2DL5B*017
KIR00684 2DL5B*018
KIR00803 2DL5B*019
KIR00804 2DL5B*020
KIR00052 2DP1*00101
KIR00127 2DP1*0010201
KIR00649 2DP1*0010202
KIR00634 2DP1*0010203
KIR00694 2DP1*00103
KIR00053 2DP1*0020101
KIR00293 2DP1*0020102
KIR00442 2DP1*0020103
KIR00443 2DP1*0020104
KIR00444 2DP1*0020105
KIR00445 2DP1*0020106
KIR00621 2DP1*0020107
KIR00633 2DP1*0020108
KIR00625 2DP1*0020109
KIR00690 2DP1*00202
KIR00880 2DP1*00203
KIR00892 2DP1*00204
KIR00242 2DP1*0030101
KIR00648 2DP1*0030102
KIR00473 2DP1*004
KIR00474 2DP1*005
KIR00475 2DP1*006
KIR00476 2DP1*007
KIR00477 2DP1*008
KIR00478 2DP1*009
KIR00622 2DP1*010
KIR00692 2DP1*011
KIR00686 2DP1*012
KIR00688 2DP1*013
KIR00685 2DP1*014
KIR00861 2DP1*015
KIR00881 2DP1*016
KIR00884 2DP1*017
KIR00886 2DP1*018
KIR00894 2DP1*019
KIR00949 2DP1*020
KIR00950 2DP1*021
KIR00951 2DP1*022
KIR00952 2DP1*023
KIR00953 2DP1*024
KIR00033 2DS1*001
KIR00034 2DS1*0020101
