# file: Allele_status.txt
# date: 2022-12-12
# version: IPD-KIR 2.12.0
# origin: https://github.com/ANHIG/IPDKIR/Allele_status.txt
# repository: https://raw.githubusercontent.com/ANHIG/IPDKIR/Latest/Allele_status.txt
# author: Steven G. E. Marsh (steven.marsh@ucl.ac.uk)
Allele,Cells,Groups,Confirmed,Start,End,Partial,Type
KIR2DL1*0010101,9,3,Confirmed,1,1047,Full,gDNA
KIR2DL1*0010102,4,1,Confirmed,1,1047,Full,gDNA
KIR2DL1*0010103,7,2,Confirmed,1,1047,Full,gDNA
KIR2DL1*0010104,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0020101,4,4,Confirmed,1,1047,Full,gDNA
KIR2DL1*0020102,2,2,Confirmed,1,1047,Full,gDNA
KIR2DL1*0020103,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0020104,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0020105,3,2,Confirmed,1,1047,Full,gDNA
KIR2DL1*0020106,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0020107,2,2,Confirmed,1,1047,Full,gDNA
KIR2DL1*0020108,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0020109,2,2,Confirmed,1,1047,Full,gDNA
KIR2DL1*0020110,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0020111,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0020112,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0020113,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0020114,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0020115,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0020116,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0020117,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0020118,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0020119,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*00202,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*00301,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*0030201,8,3,Confirmed,1,1047,Full,gDNA
