# file: Allelelist.280.txt
# date: 2018-11-30
# version: IPD-KIR 2.8.0
# origin: https://github.com/ANHIG/IPDKIR/Allelelist.280.txt
# repository: https://raw.githubusercontent.com/ANHIG/IPDKIR/Latest/Allelelist.280.txt
# author: WHO, Steven G. E. Marsh (steven.marsh@ucl.ac.uk)
AlleleID,Allele
KIR00001,KIR2DL1*0010101
KIR00978,KIR2DL1*0010102
KIR00979,KIR2DL1*0010103
KIR00002,KIR2DL1*0020101
KIR00398,KIR2DL1*0020102
KIR00644,KIR2DL1*0020103
KIR00003,KIR2DL1*00301
KIR00004,KIR2DL1*0030201
KIR00294,KIR2DL1*0030202
KIR00397,KIR2DL1*0030203
KIR00399,KIR2DL1*0030204
KIR00404,KIR2DL1*0030205
KIR00400,KIR2DL1*0030206
KIR00401,KIR2DL1*0030207
KIR00402,KIR2DL1*0030208
KIR00403,KIR2DL1*0030209
KIR00616,KIR2DL1*0030210
KIR00005,KIR2DL1*00303
KIR00897,KIR2DL1*00304
KIR00898,KIR2DL1*00305
KIR00957,KIR2DL1*00306
KIR00006,KIR2DL1*0040101
KIR00007,KIR2DL1*0040102
KIR00203,KIR2DL1*00402
KIR00330,KIR2DL1*00403
KIR00982,KIR2DL1*00404
KIR00008,KIR2DL1*005
KIR00009,KIR2DL1*00601
KIR00764,KIR2DL1*00602
KIR00200,KIR2DL1*007
KIR00201,KIR2DL1*008
KIR00202,KIR2DL1*009
KIR00214,KIR2DL1*010
KIR00329,KIR2DL1*01101
KIR00396,KIR2DL1*01102
KIR00331,KIR2DL1*01201
KIR00574,KIR2DL1*01202
KIR00332,KIR2DL1*013N
KIR00333,KIR2DL1*014
KIR00334,KIR2DL1*015
KIR00349,KIR2DL1*016
KIR00350,KIR2DL1*017
KIR00351,KIR2DL1*018
KIR00352,KIR2DL1*019
KIR00518,KIR2DL1*020
KIR00519,KIR2DL1*021
KIR00577,KIR2DL1*02201
KIR00956,KIR2DL1*02202
KIR00575,KIR2DL1*023
KIR00576,KIR2DL1*024
KIR00617,KIR2DL1*025
KIR00677,KIR2DL1*026
KIR00798,KIR2DL1*027
KIR00799,KIR2DL1*028
KIR00800,KIR2DL1*029
