# file: allele_oid.txt
# date: 2022-12-12
# version: IPD-KIR 2.12.0
# origin: https://github.com/ANHIG/IPDKIR/allele_oid.txt
# repository: https://raw.githubusercontent.com/ANHIG/IPDKIR/Latest/allele_oid.txt
# author: Steven G. E. Marsh (steven.marsh@ucl.ac.uk)
Allele,OID
KIR2DL1*0010101,2.16.840.1.113883.13.252.2.1.1
KIR2DL1*0010102,2.16.840.1.113883.13.252.2.1.978
KIR2DL1*0010103,2.16.840.1.113883.13.252.2.1.979
KIR2DL1*0010104,2.16.840.1.113883.13.252.2.1.1188
KIR2DL1*0020101,2.16.840.1.113883.13.252.2.1.2
KIR2DL1*0020102,2.16.840.1.113883.13.252.2.1.398
KIR2DL1*0020103,2.16.840.1.113883.13.252.2.1.644
KIR2DL1*0020104,2.16.840.1.113883.13.252.2.1.1038
KIR2DL1*0020105,2.16.840.1.113883.13.252.2.1.1055
KIR2DL1*0020106,2.16.840.1.113883.13.252.2.1.1056
KIR2DL1*0020107,2.16.840.1.113883.13.252.2.1.1059
KIR2DL1*0020108,2.16.840.1.113883.13.252.2.1.1063
KIR2DL1*0020109,2.16.840.1.113883.13.252.2.1.1065
KIR2DL1*0020110,2.16.840.1.113883.13.252.2.1.1068
KIR2DL1*0020111,2.16.840.1.113883.13.252.2.1.1076
KIR2DL1*0020112,2.16.840.1.113883.13.252.2.1.1091
KIR2DL1*0020113,2.16.840.1.113883.13.252.2.1.1106
KIR2DL1*0020114,2.16.840.1.113883.13.252.2.1.1111
KIR2DL1*0020115,2.16.840.1.113883.13.252.2.1.1118
KIR2DL1*0020116,2.16.840.1.113883.13.252.2.1.1122
KIR2DL1*0020117,2.16.840.1.113883.13.252.2.1.1182
KIR2DL1*0020118,2.16.840.1.113883.13.252.2.1.1183
KIR2DL1*0020119,2.16.840.1.113883.13.252.2.1.1187
KIR2DL1*00202,2.16.840.1.113883.13.252.2.1.1554
KIR2DL1*00301,2.16.840.1.113883.13.252.2.1.3
KIR2DL1*0030201,2.16.840.1.113883.13.252.2.1.4
KIR2DL1*0030202,2.16.840.1.113883.13.252.2.1.294
KIR2DL1*0030203,2.16.840.1.113883.13.252.2.1.397
KIR2DL1*0030204,2.16.840.1.113883.13.252.2.1.399
KIR2DL1*0030205,2.16.840.1.113883.13.252.2.1.404
KIR2DL1*0030206,2.16.840.1.113883.13.252.2.1.400
KIR2DL1*0030207,2.16.840.1.113883.13.252.2.1.401
KIR2DL1*0030208,2.16.840.1.113883.13.252.2.1.402
KIR2DL1*0030209,2.16.840.1.113883.13.252.2.1.403
KIR2DL1*0030210,2.16.840.1.113883.13.252.2.1.616
KIR2DL1*0030211,2.16.840.1.113883.13.252.2.1.1047
KIR2DL1*0030212,2.16.840.1.113883.13.252.2.1.1048
KIR2DL1*0030213,2.16.840.1.113883.13.252.2.1.1061
KIR2DL1*0030214,2.16.840.1.113883.13.252.2.1.1070
KIR2DL1*0030215,2.16.840.1.113883.13.252.2.1.1077
KIR2DL1*0030216,2.16.840.1.113883.13.252.2.1.1081
KIR2DL1*0030217,2.16.840.1.113883.13.252.2.1.1082
KIR2DL1*0030218,2.16.840.1.113883.13.252.2.1.1083
KIR2DL1*0030219,2.16.840.1.113883.13.252.2.1.1087
KIR2DL1*0030220,2.16.840.1.113883.13.252.2.1.1088
KIR2DL1*0030221,2.16.840.1.113883.13.252.2.1.1098
KIR2DL1*0030222,2.16.840.1.113883.13.252.2.1.1099
KIR2DL1*0030223,2.16.840.1.113883.13.252.2.1.1107
KIR2DL1*0030224,2.16.840.1.113883.13.252.2.1.1113
KIR2DL1*0030225,2.16.840.1.113883.13.252.2.1.1115
KIR2DL1*0030226,2.16.840.1.113883.13.252.2.1.1125
KIR2DL1*0030227,2.16.840.1.113883.13.252.2.1.1126
KIR2DL1*0030228,2.16.840.1.113883.13.252.2.1.1129
KIR2DL1*0030229,2.16.840.1.113883.13.252.2.1.1130
KIR2DL1*0030230,2.16.840.1.113883.13.252.2.1.1131
KIR2DL1*0030231,2.16.840.1.113883.13.252.2.1.1132
KIR2DL1*0030232,2.16.840.1.113883.13.252.2.1.1170
KIR2DL1*0030233,2.16.840.1.113883.13.252.2.1.1174
KIR2DL1*0030234,2.16.840.1.113883.13.252.2.1.1175
KIR2DL1*0030235,2.16.840.1.113883.13.252.2.1.1176
KIR2DL1*0030236,2.16.840.1.113883.13.252.2.1.1177
KIR2DL1*0030237,2.16.840.1.113883.13.252.2.1.1178
KIR2DL1*0030238,2.16.840.1.113883.13.252.2.1.1179
KIR2DL1*0030239,2.16.840.1.113883.13.252.2.1.1180
KIR2DL1*0030240,2.16.840.1.113883.13.252.2.1.1181
KIR2DL1*0030241,2.16.840.1.113883.13.252.2.1.1184
KIR2DL1*0030242,2.16.840.1.113883.13.252.2.1.1185
KIR2DL1*0030243,2.16.840.1.113883.13.252.2.1.1186
KIR2DL1*00303,2.16.840.1.113883.13.252.2.1.5
KIR2DL1*00304,2.16.840.1.113883.13.252.2.1.897
KIR2DL1*00305,2.16.840.1.113883.13.252.2.1.898
KIR2DL1*00306,2.16.840.1.113883.13.252.2.1.957
KIR2DL1*00307,2.16.840.1.113883.13.252.2.1.1173
KIR2DL1*00308,2.16.840.1.113883.13.252.2.1.1625
KIR2DL1*00309,2.16.840.1.113883.13.252.2.1.1627
KIR2DL1*0040101,2.16.840.1.113883.13.252.2.1.6
KIR2DL1*0040102,2.16.840.1.113883.13.252.2.1.7
KIR2DL1*0040103,2.16.840.1.113883.13.252.2.1.1052
KIR2DL1*0040104,2.16.840.1.113883.13.252.2.1.1053
KIR2DL1*0040105,2.16.840.1.113883.13.252.2.1.1062
KIR2DL1*0040106,2.16.840.1.113883.13.252.2.1.1069
KIR2DL1*0040107,2.16.840.1.113883.13.252.2.1.1074
KIR2DL1*0040108,2.16.840.1.113883.13.252.2.1.1079
KIR2DL1*0040109,2.16.840.1.113883.13.252.2.1.1084
KIR2DL1*0040110,2.16.840.1.113883.13.252.2.1.1085
KIR2DL1*0040111,2.16.840.1.113883.13.252.2.1.1090
KIR2DL1*0040112,2.16.840.1.113883.13.252.2.1.1094
KIR2DL1*0040113,2.16.840.1.113883.13.252.2.1.1104
KIR2DL1*0040114,2.16.840.1.113883.13.252.2.1.1108
KIR2DL1*0040115,2.16.840.1.113883.13.252.2.1.1123
KIR2DL1*0040116,2.16.840.1.113883.13.252.2.1.1189
KIR2DL1*0040117,2.16.840.1.113883.13.252.2.1.1172
KIR2DL1*00402,2.16.840.1.113883.13.252.2.1.203
KIR2DL1*00403,2.16.840.1.113883.13.252.2.1.330
KIR2DL1*00404,2.16.840.1.113883.13.252.2.1.982
KIR2DL1*00405,2.16.840.1.113883.13.252.2.1.1171
KIR2DL1*00406,2.16.840.1.113883.13.252.2.1.1623
KIR2DL1*005,2.16.840.1.113883.13.252.2.1.8
KIR2DL1*00601,2.16.840.1.113883.13.252.2.1.9
KIR2DL1*00602,2.16.840.1.113883.13.252.2.1.764
KIR2DL1*007,2.16.840.1.113883.13.252.2.1.200
KIR2DL1*008,2.16.840.1.113883.13.252.2.1.201
KIR2DL1*009,2.16.840.1.113883.13.252.2.1.202
KIR2DL1*010,2.16.840.1.113883.13.252.2.1.214
KIR2DL1*01101,2.16.840.1.113883.13.252.2.1.329
KIR2DL1*01102,2.16.840.1.113883.13.252.2.1.396
KIR2DL1*01201,2.16.840.1.113883.13.252.2.1.331
